vehicle_id,timestamp,engine_temperature,battery_voltage,vibration,brake_temperature,speed,mileage,fault_code,maintenance_required
VH002,2026-09-08 09:00:00,107.52,11.9,3.01,87.31,50,33076,F000,Yes
VH003,2026-09-08 09:05:00,103.67,11.74,4.7,72.66,57,95784,F001,Yes
VH005,2026-09-08 09:10:00,106.75,11.5,4.05,91.0,99,31791,F001,Yes
VH001,2026-09-08 09:15:00,92.06,11.96,6.02,67.53,98,23477,F001,No
VH002,2026-09-08 09:20:00,96.11,11.76,4.08,88.42,41,80012,F002,No
VH005,2026-09-08 09:25:00,108.62,12.99,1.33,97.27,69,54895,F002,No
VH005,2026-09-08 09:30:00,104.97,12.62,1.61,109.94,82,81493,F001,Yes
VH003,2026-09-08 09:35:00,83.16,11.53,6.2,110.75,41,89737,F000,Yes
VH003,2026-09-08 09:40:00,95.83,12.82,3.92,102.33,44,14272,F000,No
VH005,2026-09-08 09:45:00,96.09,12.57,2.21,107.56,59,36045,F000,No
VH003,2026-09-08 09:50:00,92.55,11.8,3.14,91.66,22,40243,F000,No
VH005,2026-09-08 09:55:00,91.65,12.5,2.03,74.74,53,84385,F001,No
VH001,2026-09-08 10:00:00,100.96,12.58,2.23,110.04,91,55568,F002,Yes
VH001,2026-09-08 10:05:00,98.94,12.11,2.95,98.88,40,40777,F002,No
VH001,2026-09-08 10:10:00,103.79,11.87,3.1,99.09,80,79667,F001,Yes
VH001,2026-09-08 10:15:00,86.14,12.01,2.48,86.66,52,54387,F000,No
VH003,2026-09-08 10:20:00,88.15,12.66,3.72,63.49,94,78495,F002,No
VH001,2026-09-08 10:25:00,84.43,12.45,7.58,94.78,33,91301,F002,No
VH003,2026-09-08 10:30:00,87.57,12.78,6.77,98.02,85,63008,F001,No
VH004,2026-09-08 10:35:00,84.38,12.51,3.49,116.04,94,63556,F002,No
VH003,2026-09-08 10:40:00,103.62,11.63,5.72,79.14,39,47438,F001,Yes
VH003,2026-09-08 10:45:00,109.76,12.71,5.04,92.5,70,29581,F000,No
VH004,2026-09-08 10:50:00,85.69,11.81,1.37,109.9,53,26180,F000,Yes
VH001,2026-09-08 10:55:00,82.57,11.78,7.8,62.26,82,60786,F001,Yes
VH004,2026-09-08 11:00:00,103.78,12.28,8.64,66.86,87,91570,F002,Yes
VH005,2026-09-08 11:05:00,106.2,12.18,4.48,77.11,54,72053,F002,No
VH002,2026-09-08 11:10:00,104.29,12.98,6.61,83.85,63,83258,F001,No
VH003,2026-09-08 11:15:00,85.58,11.96,4.62,70.02,31,32692,F002,No
VH005,2026-09-08 11:20:00,104.79,12.37,7.87,100.78,38,96397,F000,Yes
VH005,2026-09-08 11:25:00,92.15,11.74,3.28,109.52,84,63106,F001,Yes
VH005,2026-09-08 11:30:00,99.45,12.46,1.15,103.16,98,57292,F000,No
VH005,2026-09-08 11:35:00,89.37,11.96,8.16,91.84,61,22139,F001,Yes
VH005,2026-09-08 11:40:00,83.53,11.76,5.32,114.09,95,13542,F001,Yes
VH002,2026-09-08 11:45:00,101.38,11.7,6.55,76.37,29,95414,F000,Yes
VH005,2026-09-08 11:50:00,101.87,12.99,7.34,105.11,20,86664,F000,Yes
VH005,2026-09-08 11:55:00,83.0,12.16,8.6,75.77,71,68221,F000,No
VH003,2026-09-08 12:00:00,103.05,12.0,6.27,107.16,65,91499,F001,Yes
VH001,2026-09-08 12:05:00,101.83,11.78,4.11,115.04,99,26943,F000,Yes
VH003,2026-09-08 12:10:00,82.71,12.92,6.21,107.68,87,37263,F002,No
VH001,2026-09-08 12:15:00,86.37,12.81,2.67,70.68,56,84996,F000,No
VH004,2026-09-08 12:20:00,81.54,11.91,3.72,108.79,33,55990,F000,Yes
VH005,2026-09-08 12:25:00,97.54,12.59,6.49,94.74,37,79419,F000,No
VH001,2026-09-08 12:30:00,90.09,12.57,8.51,114.73,63,80213,F001,Yes
VH003,2026-09-08 12:35:00,83.32,12.05,1.75,87.99,96,59611,F001,No
VH005,2026-09-08 12:40:00,96.97,12.14,3.68,89.82,96,32100,F000,No
VH002,2026-09-08 12:45:00,98.59,12.11,7.3,97.45,62,72746,F002,No
VH005,2026-09-08 12:50:00,84.6,12.06,5.84,65.23,29,75374,F002,No
VH001,2026-09-08 12:55:00,97.68,12.43,3.92,75.67,28,60183,F002,No
VH002,2026-09-08 13:00:00,92.85,12.14,4.52,108.27,24,78706,F000,No
VH004,2026-09-08 13:05:00,86.13,12.09,7.52,78.67,24,24321,F000,No
VH001,2026-09-08 13:10:00,90.7,12.46,5.75,64.87,77,47003,F001,No
VH004,2026-09-08 13:15:00,85.76,12.91,5.22,82.52,72,57250,F002,No
VH002,2026-09-08 13:20:00,109.95,11.73,3.56,109.75,89,74588,F001,Yes
VH005,2026-09-08 13:25:00,106.13,12.74,3.94,85.09,26,81384,F001,No
VH002,2026-09-08 13:30:00,83.93,12.41,4.86,116.68,61,89684,F000,No
VH003,2026-09-08 13:35:00,104.84,11.87,5.98,70.44,94,80216,F002,Yes
VH005,2026-09-08 13:40:00,87.97,11.69,5.35,80.72,83,14176,F002,No
VH004,2026-09-08 13:45:00,96.33,12.53,2.0,119.04,45,25160,F000,No
VH001,2026-09-08 13:50:00,92.74,12.58,8.31,101.34,86,14790,F001,Yes
VH001,2026-09-08 13:55:00,86.27,12.94,7.17,93.65,96,79129,F002,No
VH003,2026-09-08 14:00:00,97.1,11.88,7.35,66.03,50,35567,F000,Yes
VH005,2026-09-08 14:05:00,105.15,12.49,3.51,93.9,80,15890,F001,No
VH002,2026-09-08 14:10:00,90.67,12.9,7.08,106.36,65,28607,F000,Yes
VH002,2026-09-08 14:15:00,103.33,11.54,8.73,95.44,61,76936,F002,Yes
VH001,2026-09-08 14:20:00,92.85,12.2,2.99,84.09,38,75724,F002,No
VH003,2026-09-08 14:25:00,91.45,11.56,3.11,88.76,88,79580,F001,No
VH002,2026-09-08 14:30:00,86.59,11.75,3.36,76.66,75,28755,F002,No
VH001,2026-09-08 14:35:00,88.02,12.46,8.96,114.02,67,41521,F001,Yes
VH001,2026-09-08 14:40:00,97.08,12.11,1.65,93.44,54,14820,F000,No
VH003,2026-09-08 14:45:00,101.3,12.73,6.67,91.96,22,70213,F001,No
VH004,2026-09-08 14:50:00,80.63,12.53,4.93,84.98,29,60303,F000,No
VH002,2026-09-08 14:55:00,87.84,11.99,4.29,116.43,71,99976,F002,Yes
VH003,2026-09-08 15:00:00,108.99,11.8,3.26,92.98,48,48912,F001,Yes
VH005,2026-09-08 15:05:00,90.83,12.38,8.67,106.43,80,75478,F002,Yes
VH002,2026-09-08 15:10:00,85.39,12.13,4.06,104.34,33,27452,F002,No
VH005,2026-09-08 15:15:00,105.43,12.31,5.38,92.3,43,10338,F001,No
VH005,2026-09-08 15:20:00,102.26,11.88,5.73,93.73,90,19819,F000,Yes
VH004,2026-09-08 15:25:00,97.16,12.22,2.51,107.17,71,66483,F000,No
VH001,2026-09-08 15:30:00,81.96,11.59,8.62,113.57,92,84512,F001,Yes
VH005,2026-09-08 15:35:00,101.15,12.47,4.52,79.09,51,62130,F000,No
VH004,2026-09-08 15:40:00,104.61,12.42,7.72,73.83,86,84341,F000,Yes
VH001,2026-09-08 15:45:00,98.51,12.61,7.83,78.8,90,34896,F000,No
VH003,2026-09-08 15:50:00,91.05,12.55,4.55,102.27,88,46593,F001,No
VH002,2026-09-08 15:55:00,108.71,11.72,6.88,115.71,77,95835,F002,Yes
VH001,2026-09-08 16:00:00,101.12,12.48,3.84,82.48,23,34611,F002,No
VH001,2026-09-08 16:05:00,83.33,12.8,5.49,97.08,82,97289,F001,No
VH003,2026-09-08 16:10:00,92.05,12.04,3.49,106.22,27,27615,F001,No
VH001,2026-09-08 16:15:00,109.31,12.03,1.63,112.86,45,70674,F000,Yes
VH003,2026-09-08 16:20:00,102.15,12.97,3.01,69.05,66,56432,F001,No
VH003,2026-09-08 16:25:00,100.13,12.35,2.11,88.69,77,96862,F000,No
VH004,2026-09-08 16:30:00,104.21,11.69,7.98,69.81,25,27476,F000,Yes
VH004,2026-09-08 16:35:00,89.14,12.26,2.72,78.01,29,97078,F001,No
VH001,2026-09-08 16:40:00,85.37,12.48,7.85,62.87,22,65558,F001,No
VH003,2026-09-08 16:45:00,93.27,12.02,3.74,109.52,73,36154,F002,No
VH005,2026-09-08 16:50:00,81.56,12.74,8.13,79.41,67,82259,F000,No
VH002,2026-09-08 16:55:00,100.26,12.8,7.94,86.37,23,79365,F000,Yes
VH004,2026-09-08 17:00:00,104.75,12.1,7.34,92.12,39,98366,F001,Yes
VH005,2026-09-08 17:05:00,90.64,12.34,1.46,71.2,81,87956,F002,No
VH003,2026-09-08 17:10:00,86.88,12.34,2.83,112.03,36,21620,F002,No
VH001,2026-09-08 17:15:00,81.71,12.61,1.14,109.49,82,98330,F002,No
VH004,2026-09-08 17:20:00,84.76,12.59,8.02,80.41,34,58152,F000,No
VH004,2026-09-08 17:25:00,106.83,12.44,2.59,67.56,90,68476,F000,No
